Package Prefix,Instance,Static,Total
java.sql,107,261,368
java.rmi,0,10,10
javax.xml,288,587,875
java.util,454,1886,2340
java.beans,12,101,113
javax.security,5,22,27
javax.naming,3,25,28
javax.rmi,0,8,8
java.nio,23,47,70
javax.annotation,9,21,30
javax.jws,226,0,226
java.time,19,14,33
java.net,54,37,91
org.xml,16,23,39
javax.lang,0,2,2
java.math,22,14,36
javax.activation,4,1,5
java.security,74,15,89
org.omg,21,93,114
javax.sound,0,4,4
org.w3c,100,107,207
javax.management,27,122,149
javax.script,3,0,3
java.awt,517,1486,2003
java.lang,11954,1081,13035
java.text,7,92,99
java.io,50,233,283
javax.print,0,4,4
javax.net,5,0,5
javax.swing,553,329,882
